"trip_duration_days","miles_traveled","total_receipts_amount","expected_output","receipts_per_day","receipts_per_mile","miles_per_day","efficiency_category","efficiency_bonus_zone","efficiency_penalty_zone","spending_per_day_category","spending_efficiency","very_low_receipts","optimal_receipt_range","high_spending_flag","receipt_cents","receipt_ends_49_99","is_5_day_trip","is_sweet_spot_duration","duration_penalty_zone","very_short_trip","very_long_trip","sweet_spot_combo","vacation_penalty","high_mile_low_spend","low_mile_high_spend","efficiency_spending_interaction","duration_efficiency_interaction","duration_spending_interaction","short_high_efficiency","long_low_efficiency","medium_balanced","trip_duration_binned","miles_binned","receipts_binned","trip_duration_squared","miles_traveled_squared","receipts_squared","trip_duration_cubed","log_trip_duration","log_miles_traveled","log_receipts","total_efficiency","cost_per_mile","productivity_score","residuals"
2,202,21.24,356.17,10.62,0.105148514851485,101,"medium",0,0,"low",0.105148514851485,1,0,0,24,0,0,0,0,0,0,0,0,0,0,1072.62,202,21.24,0,0,0,"very_short","low","very_low",4,40804,451.1376,8,1.09861228866811,5.31320597904179,3.10189246938238,18.1654676258993,0.105148514851485,4.54136690647482,-108.790963643305
3,80,21.05,366.87,7.01666666666667,0.263125,26.6666666666667,"low",0,0,"low",0.263125,1,0,0,5,0,0,0,0,0,0,0,0,0,0,187.111111111111,80,21.05,0,0,0,"short","very_low","very_low",9,6400,443.1025,27,1.38629436111989,4.39444915467244,3.09331260189286,10.8843537414966,0.263125,1.20937263794407,-93.6999812270884
2,21,20.04,204.58,10.02,0.954285714285714,10.5,"low",0,0,"low",0.954285714285714,1,0,0,4,0,0,0,0,0,0,0,0,0,0,105.21,21,20.04,0,0,0,"very_short","very_low","very_low",4,441,401.6016,8,1.09861228866811,3.09104245335832,3.04642538786951,1.99619771863118,0.954285714285714,0.499049429657795,-179.259733668636
3,177,18.73,430.86,6.24333333333333,0.105819209039548,59,"low",0,0,"low",0.105819209039548,1,0,0,73,0,0,0,0,0,0,0,0,0,0,368.356666666667,177,18.73,0,0,0,"short","low","very_low",9,31329,350.8129,27,1.38629436111989,5.18178355029209,2.98214032003452,26.9133299543842,0.105819209039548,2.99036999493158,-72.0493371565163
1,141,10.15,195.14,10.15,0.0719858156028369,141,"medium",0,0,"low",0.0719858156028369,1,0,0,15,0,0,0,1,1,0,0,0,0,0,1431.15,141,10.15,0,0,0,"very_short","low","very_low",1,19881,103.0225,1,0.693147180559945,4.95582705760126,2.41143949790613,12.6457399103139,0.0719858156028369,12.6457399103139,-188.340189020372
1,58,5.86,117.24,5.86,0.101034482758621,58,"low",0,0,"low",0.101034482758621,1,0,0,86,0,0,0,1,1,0,0,0,0,0,339.88,58,5.86,0,0,0,"very_short","very_low","very_low",1,3364,34.3396,1,0.693147180559945,4.07753744390572,1.92570744173779,8.45481049562682,0.101034482758621,8.45481049562682,-227.609157475379
1,133,8.34,179.06,8.34,0.0627067669172932,133,"medium",0,0,"low",0.0627067669172932,1,0,0,34,0,0,0,1,1,0,0,0,0,0,1109.22,133,8.34,0,0,0,"very_short","low","very_low",1,17689,69.5556,1,0.693147180559945,4.89783979995091,2.23430625224075,14.2398286937901,0.0627067669172932,14.2398286937901,-200.162048738702
1,59,8.31,120.65,8.31,0.140847457627119,59,"low",0,0,"low",0.140847457627119,1,0,0,31,0,0,0,1,1,0,0,0,0,0,490.29,59,8.31,0,0,0,"very_short","very_low","very_low",1,3481,69.0561,1,0.693147180559945,4.0943445622221,2.23108909128898,6.33727175080559,0.140847457627119,6.33727175080559,-225.582811631912
2,89,13.85,234.2,6.925,0.15561797752809,44.5,"low",0,0,"low",0.15561797752809,1,0,0,85,0,0,0,0,0,0,0,0,0,0,308.1625,89,13.85,0,0,0,"very_short","very_low","very_low",4,7921,191.8225,8,1.09861228866811,4.49980967033027,2.69799986524871,11.986531986532,0.15561797752809,2.996632996633,-177.573705104955
2,147,17.43,325.56,8.715,0.118571428571429,73.5,"low",0,0,"low",0.118571428571429,1,0,0,43,0,0,0,0,0,0,0,0,0,0,640.5525,147,17.43,0,0,0,"very_short","low","very_low",4,21609,303.8049,8,1.09861228866811,4.99721227376411,2.91397977168173,15.9522517634292,0.118571428571429,3.9880629408573,-113.431773317836
5,130,306.9,574.1,61.38,2.36076923076923,26,"low",0,0,"low",2.36076923076923,0,0,0,89.9999999999964,0,1,1,0,0,0,0,0,0,0,1595.88,130,306.9,0,0,0,"short","low","low",25,16900,94187.61,125,1.79175946922805,4.87519732320115,5.72977505493045,2.11107502435856,2.36076923076923,0.0844430009743423,-118.293967097404
5,173,1337.9,1443.96,267.58,7.73352601156069,34.6,"low",0,0,"high",7.73352601156069,0,0,1,90,0,1,1,0,0,0,0,0,0,1,9258.268,173,1337.9,0,0,0,"short","low","high",25,29929,1789976.41,125,1.79175946922805,5.15905529921453,7.19960366030333,0.646052729852864,7.73352601156069,0.0258421091941146,337.673839066071
5,592,433.75,869,86.75,0.732685810810811,118.4,"medium",0,0,"medium",0.732685810810811,0,0,0,75,0,1,1,0,0,0,0,0,0,0,10271.2,592,433.75,0,0,1,"short","medium","low",25,350464,188139.0625,125,1.79175946922805,6.38519439899773,6.07477115323439,6.80851063829787,0.732685810810811,0.272340425531915,-77.8479777418973
5,679,476.08,1030.41,95.216,0.701148748159057,135.8,"medium",0,0,"medium",0.701148748159057,0,0,0,8,0,1,1,0,0,0,0,0,0,0,12930.3328,679,476.08,0,0,1,"short","high","low",25,461041,226652.1664,125,1.79175946922805,6.52209279817015,6.16768419171047,7.11620692546323,0.701148748159057,0.284648277018529,28.5843861449033
5,708,1129.52,1654.62,225.904,1.59536723163842,141.6,"medium",0,0,"high",1.59536723163842,0,0,1,52,0,1,1,0,0,0,0,0,0,0,31988.0064,708,1129.52,0,0,0,"short","high","high",25,501264,1275815.4304,125,1.79175946922805,6.56385552653213,7.03043298284858,3.13130240951067,1.59536723163842,0.125252096380427,389.694135945905
5,261,464.94,621.12,92.988,1.78137931034483,52.2,"low",0,0,"medium",1.78137931034483,0,0,0,94,0,1,1,0,0,0,0,0,0,0,4853.9736,261,464.94,0,0,0,"short","low","low",25,68121,216169.2036,125,1.79175946922805,5.5683445037611,6.14405687047116,2.80078980126197,1.78137931034483,0.112031592050479,-190.160814731961
5,794,511,1139.94,102.2,0.643576826196474,158.8,"medium",0,0,"medium",0.643576826196474,0,0,0,0,0,1,1,0,0,0,0,0,0,0,16229.36,794,511,0,0,1,"short","high","medium",25,630436,261121,125,1.79175946922805,6.67834211465433,6.23832462503951,7.75390625,0.643576826196474,0.31015625,73.4956802308405
5,521,1448.55,1624.01,289.71,2.78032629558541,104.2,"medium",0,0,"high",2.78032629558541,0,0,1,55,0,1,1,0,0,0,0,0,0,0,30187.782,521,1448.55,0,0,0,"short","medium","high",25,271441,2098297.1025,125,1.79175946922805,6.25766758788264,7.27900844242011,1.79710944775965,2.78032629558541,0.071884377910386,320.275735568003
5,595,863.93,1231.67,172.786,1.45198319327731,119,"medium",0,0,"high",1.45198319327731,0,0,0,93,0,1,1,0,0,0,0,0,0,0,20561.534,595,863.93,0,0,0,"short","medium","medium",25,354025,746375.0449,125,1.79175946922805,6.39024066706535,6.7626485788018,3.43958470627681,1.45198319327731,0.137583388251072,118.786043444737
5,811,952.39,1608.6,190.478,1.17434032059186,162.2,"medium",0,0,"high",1.17434032059186,0,0,0,39,0,1,1,0,0,0,0,0,0,0,30895.5316,811,952.39,0,0,0,"short","high","medium",25,657721,907046.7121,125,1.79175946922805,6.69950034016168,6.86002405393871,4.25324368831223,1.17434032059186,0.170129747532489,365.588798239562
5,477,704.42,1045.96,140.884,1.4767714884696,95.4,"low",0,0,"high",1.4767714884696,0,1,0,42,0,1,1,0,0,0,0,0,0,1,13440.3336,477,704.42,0,0,0,"short","medium","medium",25,227529,496207.5364,125,1.79175946922805,6.16961073249146,6.5587933701077,3.38096453176831,1.4767714884696,0.135238581270732,46.7323076615778
5,730,485.73,991.49,97.146,0.665383561643836,146,"medium",0,0,"medium",0.665383561643836,0,0,0,73,0,1,1,0,0,0,0,0,0,0,14183.316,730,485.73,0,0,1,"short","high","low",25,532900,235933.6329,125,1.79175946922805,6.59441345974978,6.18770955455349,7.49902409960348,0.665383561643836,0.299960963984139,-36.7581298849608
5,262,1173.79,1485.59,234.758,4.48011450381679,52.4,"low",0,0,"high",4.48011450381679,0,0,1,79,0,1,1,0,0,0,0,0,0,1,12301.3192,262,1173.79,0,0,0,"short","low","high",25,68644,1377782.9641,125,1.79175946922805,5.57215403217776,7.06884468720107,1.11509291022225,4.48011450381679,0.0446037164088901,402.472688254477
5,446,219.98,788.62,43.996,0.49322869955157,89.2,"low",0,0,"low",0.49322869955157,0,0,0,98,0,1,1,0,0,0,0,0,0,0,3924.4432,446,219.98,0,0,0,"short","medium","low",25,198916,48391.2004,125,1.79175946922805,6.10255859461357,5.39807219968503,10.0914109874197,0.49322869955157,0.403656439496787,-11.3196204809985
5,751,407.43,1063.46,81.486,0.542516644474035,150.2,"medium",0,0,"medium",0.542516644474035,0,0,0,43,0,1,1,0,0,0,0,0,0,0,12239.1972,751,407.43,0,0,1,"short","high","low",25,564001,165999.2049,125,1.79175946922805,6.62273632394984,6.01232054098736,9.1937418896751,0.542516644474035,0.367749675587004,55.8313168039265
5,324,128.94,686.54,25.788,0.397962962962963,64.8,"low",0,0,"low",0.397962962962963,0,0,0,94,0,1,1,0,0,0,0,0,0,0,1671.0624,324,128.94,0,0,0,"short","medium","low",25,104976,16625.5236,125,1.79175946922805,5.78382518232974,4.86707280545239,12.467292596583,0.397962962962963,0.498691703863322,-24.1752515440569
5,414,967,1368.94,193.4,2.33574879227053,82.8,"low",0,0,"high",2.33574879227053,0,0,0,0,0,1,1,0,0,0,0,0,0,1,16013.52,414,967,0,0,0,"short","medium","medium",25,171396,935089,125,1.79175946922805,6.0282785202307,6.87523208727658,2.13842975206612,2.33574879227053,0.0855371900826446,297.25638168002
5,367,290.78,742.25,58.156,0.792316076294278,73.4,"low",0,0,"low",0.792316076294278,0,0,0,77.9999999999964,0,1,1,0,0,0,0,0,0,0,4268.6504,367,290.78,0,0,0,"short","medium","low",25,134689,84553.0084,125,1.79175946922805,5.90808293816893,5.67600009364375,6.28898485160052,0.792316076294278,0.251559394064021,-49.5901847667452
5,764,848.75,1468.46,169.75,1.11092931937173,152.8,"medium",0,0,"high",1.11092931937173,0,0,0,75,0,1,1,0,0,0,0,0,0,0,25937.8,764,848.75,0,0,0,"short","high","medium",25,583696,720376.5625,125,1.79175946922805,6.63987583382654,6.74494218857623,4.49543983524566,1.11092931937173,0.179817593409826,286.073816216527
5,249,873.75,1185.24,174.75,3.50903614457831,49.8,"low",0,0,"high",3.50903614457831,0,0,0,75,0,1,1,0,0,0,0,0,0,1,8702.55,249,873.75,0,0,0,"short","low","medium",25,62001,763439.0625,125,1.79175946922805,5.52146091786225,6.7739381312478,1.42326378965419,3.50903614457831,0.0569305515861675,222.789620270471
8,862,1817.85,1719.37,227.23125,2.1088747099768,107.75,"medium",0,0,"high",2.1088747099768,0,0,1,85,0,0,0,0,0,1,0,1,0,0,24484.1671875,862,1817.85,0,0,0,"medium","high","high",64,743044,3304578.6225,512,2.19722457733622,6.76041469108343,7.50595971222617,3.79140665805317,2.1088747099768,0.0592407290320807,-27.8712458756805
11,927,1994.33,1779.12,181.302727272727,2.151380798274,84.2727272727273,"low",0,0,"high",2.151380798274,0,0,1,33,0,0,0,1,0,1,0,1,0,1,15278.8752892562,927,1994.33,0,1,0,"long","high","high",121,859329,3977352.1489,1331,2.484906649788,6.8330317327862,7.59856472917849,5.1104328607298,2.151380798274,0.042234982320081,-214.806915648928
9,602,186.69,1085.4,20.7433333333333,0.310116279069767,66.8888888888889,"low",0,0,"low",0.310116279069767,0,0,0,69,0,0,0,0,0,1,0,0,0,0,1387.49851851852,602,186.69,0,1,0,"long","high","low",81,362404,34853.1561,729,2.30258509299405,6.40191719672719,5.23479166566816,28.8667483616602,0.310116279069767,0.356379609403212,28.4832045709427
8,610,208.29,841.27,26.03625,0.341459016393443,76.25,"low",0,0,"low",0.341459016393443,0,0,0,29,0,0,0,0,0,1,0,0,0,0,1985.2640625,610,208.29,0,1,0,"medium","high","low",64,372100,43384.7241,512,2.19722457733622,6.4150969591716,5.34372085000189,23.3169286635769,0.341459016393443,0.364327010368388,-177.43126398856
12,333,1103.21,1618.13,91.9341666666667,3.31294294294294,27.75,"low",0,0,"medium",3.31294294294294,0,0,1,21,0,0,0,1,0,1,0,0,0,0,2551.173125,333,1103.21,0,1,0,"long","medium","high",144,110889,1217072.3041,1728,2.56494935746154,5.8111409929767,7.00688542613931,3.61887684407857,3.31294294294294,0.0251310891949901,180.040781944551
8,435,1129.65,1525.26,141.20625,2.59689655172414,54.375,"low",0,0,"high",2.59689655172414,0,0,1,65.0000000000146,0,0,0,0,0,1,0,1,0,1,7678.08984375,435,1129.65,0,1,0,"medium","medium","high",64,189225,1276109.1225,512,2.19722457733622,6.07764224334903,7.030547967569,3.07787555830717,2.59689655172414,0.0480918055985495,231.794068911887
9,218,1203.45,1561.63,133.716666666667,5.5204128440367,24.2222222222222,"low",0,0,"high",5.5204128440367,0,0,1,45,0,0,0,0,0,1,0,1,0,1,3238.91481481481,218,1203.45,0,1,0,"long","low","high",81,47524,1448291.9025,729,2.30258509299405,5.3890717298165,7.0937783101929,1.6289592760181,5.5204128440367,0.0201106083459025,286.563485810882
12,781,1159.18,1752.72,96.5983333333333,1.48422535211268,65.0833333333333,"low",0,0,"medium",1.48422535211268,0,0,1,18,0,0,0,1,0,1,0,0,0,0,6286.94152777778,781,1159.18,0,1,0,"long","high","high",144,609961,1343698.2724,1728,2.56494935746154,6.66185474054531,7.05633044447621,8.07805685324691,1.48422535211268,0.0560976170364369,93.5529761955225
11,916,1036.91,2098.07,94.2645454545455,1.13199781659389,83.2727272727273,"low",0,0,"medium",1.13199781659389,0,0,1,91.0000000000146,0,0,0,1,0,1,0,0,0,0,7849.66578512397,916,1036.91,0,1,0,"long","high","high",121,839056,1075182.3481,1331,2.484906649788,6.82110747225646,6.94496435476441,9.70797082598684,1.13199781659389,0.0802311638511309,475.603734055349
10,358,2066.62,1624.11,206.662,5.77268156424581,35.8,"low",0,0,"high",5.77268156424581,0,0,1,62,0,0,0,0,0,1,0,1,0,1,7398.4996,358,2066.62,0,1,0,"long","medium","very_high",100,128164,4270918.2244,1000,2.39789527279837,5.88332238848828,7.63415346632598,1.73145935906985,5.77268156424581,0.0173145935906985,-93.8712653189064
12,566,2013.7,1752.03,167.808333333333,3.55777385159011,47.1666666666667,"low",0,0,"high",3.55777385159011,0,0,1,70,0,0,0,1,0,1,0,1,0,1,7914.95972222222,566,2013.7,0,1,0,"long","medium","very_high",144,320356,4054987.69,1728,2.56494935746154,6.34035930372775,7.60822557992186,3.37122152181466,3.55777385159011,0.0234112605681574,-138.485466012235
9,954,1483.39,2024.2,164.821111111111,1.55491614255765,106,"medium",0,0,"high",1.55491614255765,0,0,1,39,0,0,0,0,0,1,0,1,0,0,17471.0377777778,954,1483.39,0,0,0,"long","high","high",81,910116,2200445.8921,729,2.30258509299405,6.86171134048073,7.30275919243511,5.78419418077459,1.55491614255765,0.0714098047009209,313.960512178087
9,534,1929.94,1624.87,214.437777777778,3.61411985018727,59.3333333333333,"low",0,0,"high",3.61411985018727,0,0,1,94,0,0,0,0,0,1,0,1,0,1,12723.3081481481,534,1929.94,0,1,0,"long","medium","high",81,285156,3724668.4036,729,2.30258509299405,6.28226674689601,7.56576220996234,2.48894320900701,3.61411985018727,0.0307276939383582,-69.1649406592581
12,765,1343.97,1953.03,111.9975,1.75682352941176,63.75,"low",0,0,"medium",1.75682352941176,0,0,1,97,0,0,0,1,0,1,0,0,0,1,7139.840625,765,1343.97,0,1,0,"long","high","high",144,585225,1806255.3609,1728,2.56494935746154,6.64118216974059,7.20412698695447,6.8254310505067,1.75682352941176,0.0473988267396299,230.244460435684
8,630,967.69,1388.05,120.96125,1.53601587301587,78.75,"low",0,0,"high",1.53601587301587,0,0,0,69,0,0,0,0,0,1,0,1,0,1,9525.6984375,630,967.69,0,1,0,"medium","high","medium",64,396900,936423.9361,512,2.19722457733622,6.44730586254121,6.8759446432656,5.20290288946928,1.53601587301587,0.0812953576479575,69.6913669724712
10,909,696,1505.19,69.6,0.765676567656766,90.9,"low",0,0,"low",0.765676567656766,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6326.64,909,696,0,1,0,"long","high","medium",100,826281,484416,1000,2.39789527279837,6.8134445995109,6.54678541076052,13.0416068866571,0.765676567656766,0.130416068866571,66.4147999405329
10,223,745.89,1037.45,74.589,3.34479820627803,22.3,"low",0,0,"low",3.34479820627803,0,1,0,89,0,0,0,0,0,1,0,0,0,0,1663.3347,223,745.89,0,1,0,"long","low","medium",100,49729,556351.8921,1000,2.39789527279837,5.41164605185504,6.61591791860021,2.98571409444497,3.34479820627803,0.0298571409444497,-114.713456209068
8,467,1178.71,1483.33,147.33875,2.52400428265525,58.375,"low",0,0,"high",2.52400428265525,0,0,1,71,0,0,0,0,0,1,0,1,0,1,8600.89953125,467,1178.71,0,1,0,"medium","medium","high",64,218089,1389357.2641,512,2.19722457733622,6.14846829591765,7.07302392454324,3.1668799959312,2.52400428265525,0.0494824999364251,156.820270684019
9,708,461.07,1110.6,51.23,0.651228813559322,78.6666666666667,"low",0,0,"low",0.651228813559322,0,0,0,7,0,0,0,0,0,1,0,0,0,0,4030.09333333333,708,461.07,0,1,0,"long","high","low",81,501264,212585.5449,729,2.30258509299405,6.56385552653213,6.13571639475599,13.790118380332,0.651228813559322,0.170248375065827,-98.6045320197467
9,885,1764.97,1694.37,196.107777777778,1.99431638418079,98.3333333333333,"low",0,0,"high",1.99431638418079,0,0,1,97,0,0,0,0,0,1,0,1,0,1,19283.9314814815,885,1764.97,0,1,0,"long","high","high",81,783225,3115119.1009,729,2.30258509299405,6.78671695060508,7.47645539347715,4.51026914386994,1.99431638418079,0.0556823351095054,-92.9258965713557
6,855,591.35,1339.72,98.5583333333333,0.691637426900585,142.5,"medium",0,0,"medium",0.691637426900585,0,0,0,35,0,0,1,0,0,0,0,0,0,0,14044.5625,855,591.35,0,0,1,"medium","high","medium",36,731025,349694.8225,216,1.94591014905531,6.75227037614174,6.38409767640077,8.6604203595847,0.691637426900585,0.240567232210686,165.277969174899
2,993,54.24,715.19,27.12,0.0546223564954683,496.5,"very_high",0,1,"low",0.0546223564954683,0,0,0,24,0,0,0,0,0,0,0,0,1,0,13465.08,993,54.24,1,0,0,"very_short","high","very_low",4,986049,2941.9776,8,1.09861228866811,6.90173720665657,4.01168732854109,35.9522085445329,0.0546223564954683,8.98805213613324,-114.910791324105
5,685,747.14,1216.36,149.428,1.09071532846715,137,"medium",0,0,"high",1.09071532846715,0,1,0,14,0,1,1,0,0,0,0,0,0,0,20471.636,685,747.14,0,0,1,"short","high","medium",25,469225,558218.1796,125,1.79175946922805,6.53087762772588,6.61759012623655,4.57802015665517,1.09071532846715,0.183120806266207,108.082276048816
3,981,341.45,813.95,113.816666666667,0.348063200815494,327,"very_high",0,1,"medium",0.348063200815494,0,0,0,45,0,0,0,0,0,0,0,0,0,0,37218.05,981,341.45,1,0,0,"short","high","low",9,962361,116588.1025,27,1.38629436111989,6.88959130835447,5.83612566164391,8.59395532194481,0.348063200815494,0.954883924660535,-170.814973780994
5,770,873.33,1502.49,174.666,1.13419480519481,154,"medium",0,0,"high",1.13419480519481,0,0,0,33,0,1,1,0,0,0,0,0,0,0,26898.564,770,873.33,0,0,0,"short","high","medium",25,592900,762705.2889,125,1.79175946922805,6.64768837356333,6.77345787876298,4.40337172463486,1.13419480519481,0.176134868985395,308.019226940655
6,697,651.64,1237.71,108.606666666667,0.934921090387374,116.166666666667,"medium",0,0,"medium",0.934921090387374,0,1,0,64,0,0,1,0,0,0,0,0,0,0,12616.4744444444,697,651.64,0,0,1,"medium","high","medium",36,485809,424634.6896,216,1.94591014905531,6.54821910276237,6.48102567556925,6.40782054425104,0.934921090387374,0.177995015118084,110.597249228412
3,795,450.85,743.94,150.283333333333,0.567106918238994,265,"high",0,0,"high",0.567106918238994,0,0,0,85,0,0,0,0,0,0,0,0,0,0,39825.0833333333,795,450.85,1,0,0,"short","high","low",9,632025,203265.7225,27,1.38629436111989,6.67959918584438,6.11335026634796,5.27830032090295,0.567106918238994,0.586477813433662,-199.819917736269
3,606,1184.23,1364.54,394.743333333333,1.95417491749175,202,"high_optimal",1,0,"high",1.95417491749175,0,0,1,23,0,0,0,0,0,0,0,0,0,0,79738.1533333333,606,1184.23,1,0,0,"short","high","high",9,367236,1402400.6929,27,1.38629436111989,6.4085287910595,7.07769212756266,1.5338795001814,1.95417491749175,0.170431055575711,224.224615386027
3,842,865.37,1251.14,288.456666666667,1.02775534441805,280.666666666667,"high",0,0,"high",1.02775534441805,0,0,0,37,0,0,0,0,0,0,0,0,0,0,80960.1711111111,842,865.37,1,0,0,"short","high","medium",9,708964,748865.2369,27,1.38629436111989,6.73696695800186,6.7643120690485,2.91561342151737,1.02775534441805,0.323957046835263,127.731310340853
7,748,241.73,971.31,34.5328571428571,0.323168449197861,106.857142857143,"medium",0,0,"low",0.323168449197861,0,0,0,73,0,0,0,0,0,0,0,0,0,0,3690.08244897959,748,241.73,0,0,0,"medium","high","low",49,559504,58433.3929,343,2.07944154167984,6.61873898351722,5.49194971448786,21.5712932064434,0.323168449197861,0.440230473600885,-71.642691370513
7,624,148.16,905.79,21.1657142857143,0.237435897435897,89.1428571428571,"low",0,0,"low",0.237435897435897,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1886.77224489796,624,148.16,0,1,0,"medium","high","low",49,389376,21951.3856,343,2.07944154167984,6.4377516497364,5.00501955531062,29.2839903459372,0.237435897435897,0.597632456039536,-46.0783941283926
2,713,740.33,1048.28,370.165,1.03833099579243,356.5,"very_high",0,1,"high",1.03833099579243,0,1,0,33,0,0,0,0,0,0,0,0,0,0,131963.8225,713,740.33,1,0,0,"very_short","high","medium",4,508369,548088.5089,8,1.09861228866811,6.57088296233958,6.60844587028938,1.92356980022392,1.03833099579243,0.48089245005598,80.2829484454662
3,874,1191.4,1515.99,397.133333333333,1.36315789473684,291.333333333333,"high",0,0,"high",1.36315789473684,0,0,1,40.0000000000146,0,0,0,0,0,0,0,0,0,0,115698.177777778,874,1191.4,1,0,0,"short","high","high",9,763876,1419433.96,27,1.38629436111989,6.77422388635761,7.08372336180392,2.19892653471989,1.36315789473684,0.244325170524433,253.496566634345
6,761,530.19,1120.1,88.365,0.696701708278581,126.833333333333,"medium",0,0,"medium",0.696701708278581,0,0,0,19.0000000000073,0,0,1,0,0,0,0,0,0,0,11207.6275,761,530.19,0,0,1,"medium","high","medium",36,579121,281101.4361,216,1.94591014905531,6.63594655568665,6.27511977268382,8.59579434853819,0.696701708278581,0.238772065237172,10.9643904653672
1,815,97.89,539.36,97.89,0.120110429447853,815,"very_high",0,1,"medium",0.120110429447853,0,0,0,89,0,0,0,1,1,0,0,0,0,0,79780.35,815,97.89,1,0,0,"very_short","high","very_low",1,664225,9582.4521,1,0.693147180559945,6.70441435496411,4.5940081212819,8.24148043280413,0.120110429447853,8.24148043280413,-178.077316206435
1,601,497.7,644.12,497.7,0.828119800332779,601,"very_high",0,1,"high",0.828119800332779,0,0,0,70,0,0,0,1,1,0,0,0,0,0,299117.7,601,497.7,1,0,0,"very_short","high","low",1,361201,247705.29,1,0.693147180559945,6.40025744530882,6.21200471255208,1.20513334670142,0.828119800332779,1.20513334670142,-131.020786239299
